treatment,target_pos,rep,target_rank,target_top1,target_ranked,curation_tau,forced_answer
baseline,0,0,3,False,True,0.0,False
baseline,0,1,3,False,True,0.0,False
baseline,0,2,3,False,True,0.0,False
baseline,1,0,2,False,True,0.0,False
baseline,1,1,2,False,True,0.0,False
baseline,1,2,2,False,True,0.2,False
baseline,2,0,4,False,True,0.4,False
baseline,2,1,4,False,True,0.4,False
baseline,2,2,4,False,True,0.4,False
baseline,3,0,4,False,True,0.4,False
baseline,3,1,4,False,True,0.4,False
baseline,3,2,4,False,True,0.4,False
baseline,4,0,4,False,True,0.2,False
baseline,4,1,5,False,True,0.4,False
baseline,4,2,5,False,True,0.6,False
statistics,0,0,1,True,True,0.4,False
statistics,0,1,1,True,True,0.4,False
statistics,0,2,1,True,True,0.4,False
statistics,1,0,1,True,True,0.2,False
statistics,1,1,1,True,True,0.2,False
statistics,1,2,1,True,True,0.2,False
statistics,2,0,1,True,True,0.0,False
statistics,2,1,1,True,True,0.0,False
statistics,2,2,1,True,True,0.0,False
statistics,3,0,1,True,True,0.0,False
statistics,3,1,1,True,True,-0.2,False
statistics,3,2,1,True,True,-0.2,False
statistics,4,0,1,True,True,-0.4,False
statistics,4,1,1,True,True,-0.4,False
statistics,4,2,1,True,True,-0.2,False
quotations,0,0,1,True,True,0.6,False
quotations,0,1,1,True,True,0.4,False
quotations,0,2,1,True,True,0.4,False
quotations,1,0,1,True,True,0.2,False
quotations,1,1,1,True,True,0.2,False
quotations,1,2,1,True,True,0.2,False
quotations,2,0,1,True,True,0.0,False
quotations,2,1,1,True,True,0.0,False
quotations,2,2,1,True,True,0.0,False
quotations,3,0,1,True,True,-0.2,False
quotations,3,1,1,True,True,-0.2,False
quotations,3,2,1,True,True,0.0,False
quotations,4,0,1,True,True,-0.4,False
quotations,4,1,1,True,True,-0.2,False
quotations,4,2,1,True,True,-0.4,False
authority,0,0,1,True,True,0.4,False
authority,0,1,1,True,True,0.4,False
authority,0,2,1,True,True,0.4,False
authority,1,0,1,True,True,0.2,False
authority,1,1,1,True,True,0.2,False
authority,1,2,1,True,True,0.2,False
authority,2,0,1,True,True,0.0,False
authority,2,1,1,True,True,0.0,False
authority,2,2,1,True,True,0.0,False
authority,3,0,1,True,True,-0.2,False
authority,3,1,1,True,True,0.0,False
authority,3,2,1,True,True,-0.2,False
authority,4,0,1,True,True,-0.4,False
authority,4,1,1,True,True,-0.4,False
authority,4,2,1,True,True,-0.4,False
faq,0,0,4,False,True,0.0,False
faq,0,1,3,False,True,0.2,False
faq,0,2,3,False,True,0.0,False
faq,1,0,5,False,True,-0.2,False
faq,1,1,5,False,True,-0.2,False
faq,1,2,5,False,True,-0.2,False
faq,2,0,5,False,True,0.0,False
faq,2,1,5,False,True,0.0,False
faq,2,2,5,False,True,0.0,False
faq,3,0,5,False,True,0.2,False
faq,3,1,5,False,True,0.2,False
faq,3,2,5,False,True,0.2,False
faq,4,0,5,False,True,0.4,False
faq,4,1,5,False,True,0.4,False
faq,4,2,5,False,True,0.4,False
recency,0,0,1,True,True,0.4,False
recency,0,1,1,True,True,0.4,False
recency,0,2,1,True,True,0.4,False
recency,1,0,1,True,True,0.2,False
recency,1,1,1,True,True,0.2,False
recency,1,2,1,True,True,0.2,False
recency,2,0,1,True,True,0.0,False
recency,2,1,2,False,True,0.0,False
recency,2,2,1,True,True,0.0,False
recency,3,0,3,False,True,0.2,False
recency,3,1,3,False,True,0.2,False
recency,3,2,3,False,True,0.2,False
recency,4,0,3,False,True,0.0,False
recency,4,1,2,False,True,-0.2,False
recency,4,2,3,False,True,0.0,False
