treatment,target_pos,rep,target_rank,target_top1,target_ranked,curation_tau,forced_answer
baseline,0,0,3.0,False,True,0.0,False
baseline,0,1,3.0,False,True,0.0,False
baseline,0,2,3.0,False,True,0.0,False
baseline,1,0,2.0,False,True,0.0,False
baseline,1,1,,False,False,,False
baseline,1,2,2.0,False,True,0.0,False
baseline,2,0,4.0,False,True,0.4,False
baseline,2,1,4.0,False,True,0.4,False
baseline,2,2,4.0,False,True,0.4,False
baseline,3,0,4.0,False,True,0.4,False
baseline,3,1,4.0,False,True,0.4,False
baseline,3,2,4.0,False,True,0.6,False
baseline,4,0,5.0,False,True,0.4,False
baseline,4,1,5.0,False,True,0.4,False
baseline,4,2,5.0,False,True,0.6,False
faq_original,0,0,3.0,False,True,0.0,False
faq_original,0,1,4.0,False,True,-0.2,False
faq_original,0,2,3.0,False,True,0.0,False
faq_original,1,0,5.0,False,True,-0.2,False
faq_original,1,1,5.0,False,True,-0.2,False
faq_original,1,2,5.0,False,True,-0.2,False
faq_original,2,0,5.0,False,True,0.2,False
faq_original,2,1,5.0,False,True,0.0,False
faq_original,2,2,5.0,False,True,0.0,False
faq_original,3,0,5.0,False,True,0.2,False
faq_original,3,1,4.0,False,True,1.0,False
faq_original,3,2,5.0,False,True,0.2,False
faq_original,4,0,5.0,False,True,0.4,False
faq_original,4,1,5.0,False,True,0.4,False
faq_original,4,2,5.0,False,True,0.4,False
prose_matched,0,0,1.0,True,True,0.4,False
prose_matched,0,1,1.0,True,True,0.4,False
prose_matched,0,2,1.0,True,True,0.2,False
prose_matched,1,0,1.0,True,True,0.2,False
prose_matched,1,1,1.0,True,True,0.2,False
prose_matched,1,2,1.0,True,True,0.2,False
prose_matched,2,0,1.0,True,True,0.2,False
prose_matched,2,1,1.0,True,True,0.2,False
prose_matched,2,2,1.0,True,True,0.2,False
prose_matched,3,0,1.0,True,True,0.0,False
prose_matched,3,1,1.0,True,True,0.0,False
prose_matched,3,2,2.0,False,True,0.0,False
prose_matched,4,0,1.0,True,True,-0.4,False
prose_matched,4,1,3.0,False,True,0.2,False
prose_matched,4,2,1.0,True,True,-0.4,False
faq_matched,0,0,3.0,False,True,0.0,False
faq_matched,0,1,3.0,False,True,0.0,False
faq_matched,0,2,3.0,False,True,0.0,False
faq_matched,1,0,4.0,False,True,0.0,False
faq_matched,1,1,4.0,False,True,0.0,False
faq_matched,1,2,4.0,False,True,0.0,False
faq_matched,2,0,5.0,False,True,0.2,False
faq_matched,2,1,5.0,False,True,0.2,False
faq_matched,2,2,4.0,False,True,0.2,False
faq_matched,3,0,5.0,False,True,0.2,False
faq_matched,3,1,5.0,False,True,0.2,False
faq_matched,3,2,4.0,False,True,0.4,False
faq_matched,4,0,5.0,False,True,0.4,False
faq_matched,4,1,5.0,False,True,0.4,False
faq_matched,4,2,5.0,False,True,0.4,False
